juntar(9436, 3089);
juntar(8726, 8839);
juntar(3051, 325);
juntar(6071, 9630);
juntar(7739, 1537);
juntar(6100, 3264);
juntar(3553, 4136);
juntar(124, 1312);
juntar(8292, 4353);
juntar(1275, 1500);
juntar(2537, 4987);
juntar(2926, 8344);
juntar(521, 6636);
juntar(222, 9186);
juntar(6806, 1300);
juntar(8807, 6758);
juntar(6679, 577);
juntar(8576, 3233);
juntar(336, 4107);
juntar(3184, 6213);
juntar(6987, 3840);
juntar(7953, 4077);
juntar(5287, 6301);
juntar(9788, 6669);
juntar(721, 8065);
juntar(2806, 7463);
juntar(8918, 9346);
juntar(2433, 5007);
juntar(6270, 6812);
juntar(8955, 4698);
juntar(5661, 9528);
juntar(8712, 6784);
juntar(5665, 1263);
juntar(7421, 2826);
juntar(6111, 8321);
juntar(5506, 820);
juntar(1595, 4512);
juntar(9698, 8675);
juntar(7192, 3928);
juntar(8681, 6802);
juntar(7412, 7756);
juntar(3101, 3201);
juntar(257, 3572);
juntar(1863, 8619);
juntar(3138, 4203);
juntar(7315, 5104);
juntar(6372, 8610);
juntar(1669, 8606);
juntar(2974, 9028);
juntar(5778, 5130);
juntar(562, 7036);
juntar(9283, 405);
juntar(2330, 6198);
juntar(8040, 5033);
juntar(9244, 446);
juntar(749, 628);
juntar(4874, 5467);
juntar(1722, 7618);
juntar(7643, 5031);
juntar(880, 2024);
juntar(2611, 5387);
juntar(5207, 6830);
juntar(6418, 8678);
juntar(8146, 3343);
juntar(4500, 636);
juntar(4707, 9319);
juntar(9270, 8740);
juntar(441, 3595);
juntar(1622, 4499);
juntar(1822, 1436);
juntar(5790, 7544);
juntar(4104, 894);
juntar(9394, 9803);
juntar(241, 8101);
juntar(6300, 5217);
juntar(1078, 8587);
juntar(9851, 4143);
juntar(2705, 2494);
juntar(7948, 1896);
juntar(1584, 3858);
juntar(9495, 7719);
juntar(1871, 7999);
juntar(3812, 3884);
juntar(2210, 6515);
juntar(720, 4587);
juntar(1207, 6371);
juntar(9275, 840);
juntar(1771, 8134);
juntar(7323, 668);
juntar(4555, 8544);
juntar(2430, 3552);
juntar(9855, 4278);
juntar(7112, 4312);
juntar(5489, 7050);
juntar(7755, 4379);
juntar(5407, 4970);
juntar(7107, 7762);
juntar(105, 1478);
juntar(4850, 4934);
juntar(5253, 1123);
juntar(9355, 313);
juntar(9377, 919);
juntar(6460, 8058);
juntar(4943, 7122);
juntar(7862, 6503);
juntar(9702, 9857);
juntar(2557, 3682);
juntar(6795, 2248);
juntar(9641, 5159);
juntar(2785, 6430);
juntar(9746, 626);
juntar(2514, 6148);
juntar(5408, 7596);
juntar(8478, 4528);
juntar(7735, 8918);
juntar(290, 6035);
juntar(7896, 5818);
juntar(6713, 3650);
juntar(7140, 9699);
juntar(8731, 5829);
juntar(8339, 4023);
juntar(7173, 2992);
juntar(5379, 2280);
juntar(2538, 9914);
juntar(4092, 9232);
juntar(7807, 8688);
juntar(9914, 435);
juntar(7291, 6727);
juntar(2930, 9377);
juntar(5856, 5656);
juntar(595, 2476);
juntar(3229, 9861);
juntar(2007, 9651);
juntar(7494, 8011);
juntar(5369, 2215);
juntar(415, 6878);
juntar(1999, 449);
juntar(4726, 4456);
juntar(6106, 342);
juntar(163, 8533);
juntar(9430, 2727);
juntar(690, 7638);
juntar(3804, 8331);
juntar(103, 3608);
juntar(2701, 9078);
juntar(6971, 8874);
juntar(4936, 9410);
juntar(2788, 7029);
juntar(9808, 1369);
juntar(9076, 2222);
juntar(3181, 3685);
juntar(201, 1497);
juntar(8283, 8250);
juntar(8706, 4330);
juntar(3311, 6985);
juntar(9062, 5289);
juntar(343, 8347);
juntar(3939, 9005);
juntar(6490, 5491);
juntar(4305, 1461);
juntar(8771, 7470);
juntar(980, 7961);
juntar(8735, 729);
juntar(627, 6120);
juntar(1530, 660);
juntar(3592, 1669);
juntar(6806, 1989);
juntar(4468, 5976);
juntar(5612, 2375);
juntar(8851, 6783);
juntar(8275, 5749);
juntar(1317, 7865);
juntar(3145, 663);
juntar(358, 9059);
juntar(5041, 4165);
juntar(5739, 5434);
juntar(5252, 3615);
juntar(2533, 3234);
juntar(2036, 7202);
juntar(3972, 693);
juntar(1675, 8945);
juntar(2132, 3795);
juntar(5394, 5479);
juntar(1519, 623);
juntar(6671, 9991);
juntar(5614, 3097);
juntar(6831, 3394);
juntar(580, 1531);
juntar(4192, 3976);
juntar(3499, 5762);
juntar(3494, 4600);
juntar(4735, 6357);
juntar(7849, 846);
juntar(5339, 815);
juntar(5047, 4403);
juntar(741, 2622);
juntar(3675, 3497);
juntar(1440, 5491);
juntar(2237, 6153);
juntar(9839, 1217);
juntar(6191, 2719);
juntar(9972, 7177);
juntar(3709, 1197);
juntar(3445, 8720);
juntar(781, 2680);
juntar(594, 2411);
juntar(323, 4466);
juntar(619, 8446);
juntar(7890, 5256);
juntar(8224, 4399);
juntar(8734, 265);
juntar(7175, 7918);
juntar(7050, 4044);
juntar(3099, 2994);
juntar(8485, 5333);
juntar(8841, 2962);
juntar(1235, 1372);
juntar(5745, 3574);
juntar(9385, 8755);
juntar(3328, 1108);
juntar(4567, 4121);
juntar(7998, 3777);
juntar(8413, 779);
juntar(8706, 9510);
juntar(8866, 6685);
juntar(3702, 9521);
juntar(7919, 5122);
juntar(7960, 5068);
juntar(7062, 1889);
juntar(5221, 4272);
juntar(9373, 1835);
juntar(2122, 6946);
juntar(3976, 3189);
juntar(4407, 7999);
juntar(9426, 281);
juntar(6844, 4194);
juntar(7463, 3959);
juntar(9130, 4752);
juntar(7526, 4322);
juntar(9809, 3653);
juntar(5456, 2205);
juntar(9036, 323);
juntar(6872, 4265);
juntar(8858, 5855);
juntar(6881, 1516);
juntar(6640, 3925);
juntar(2936, 2642);
juntar(3213, 9093);
juntar(6985, 1572);
juntar(2401, 343);
juntar(6331, 3402);
juntar(2684, 4382);
juntar(56, 4028);
juntar(4908, 1489);
juntar(9276, 6575);
juntar(2241, 6484);
juntar(5067, 2107);
juntar(9805, 8822);
juntar(7412, 2985);
juntar(1832, 8697);
juntar(2235, 4702);
juntar(3595, 570);
juntar(1232, 6083);
juntar(3829, 1619);
juntar(1012, 8322);
juntar(956, 191);
juntar(3884, 462);
juntar(2989, 8561);
juntar(2508, 2702);
juntar(6692, 5043);
juntar(4597, 9131);
juntar(6311, 2814);
juntar(1864, 8389);
juntar(5964, 6681);
juntar(9497, 4125);
juntar(2674, 4472);
juntar(8575, 7128);
juntar(8925, 6738);
juntar(4064, 7501);
juntar(4626, 6988);
juntar(5271, 8377);
juntar(8398, 4846);
juntar(3994, 2315);
juntar(7231, 6181);
juntar(7971, 7750);
juntar(1722, 7520);
juntar(3714, 5627);
juntar(1332, 6872);
juntar(3305, 5736);
juntar(415, 9468);
juntar(4323, 8127);
juntar(1129, 4850);
juntar(728, 7494);
juntar(3757, 1265);
juntar(5198, 7430);
juntar(8449, 4364);
juntar(221, 7046);
juntar(4966, 9840);
juntar(6042, 4629);
juntar(8589, 3838);
juntar(8488, 1701);
juntar(1058, 711);
juntar(8616, 6164);
juntar(5119, 5000);
juntar(9170, 5016);
juntar(64, 3433);
juntar(9920, 5583);
juntar(3527, 3123);
juntar(5059, 9126);
juntar(1694, 4187);
juntar(1087, 2268);
juntar(6085, 8571);
juntar(2849, 9749);
juntar(127, 1954);
juntar(8730, 6682);
juntar(2823, 2352);
juntar(3410, 9707);
juntar(20, 7240);
juntar(8022, 4230);
juntar(5994, 864);
juntar(3100, 9259);
juntar(9391, 4772);
juntar(9246, 2283);
juntar(7905, 7533);
juntar(4126, 4088);
juntar(5505, 4128);
juntar(2087, 7451);
juntar(4515, 1543);
juntar(4456, 4248);
juntar(2391, 4739);
juntar(4423, 2662);
juntar(9656, 6347);
juntar(294, 9899);
juntar(1124, 4207);
juntar(4859, 6127);
juntar(7285, 3157);
juntar(6627, 2144);
juntar(6514, 1390);
juntar(784, 6762);
juntar(1638, 7106);
juntar(3842, 9796);
juntar(6317, 8196);
juntar(6184, 3128);
juntar(7666, 6283);
juntar(938, 5388);
juntar(1622, 6526);
juntar(5994, 5464);
juntar(6645, 6331);
juntar(8321, 6254);
juntar(9527, 9327);
juntar(6225, 2893);
juntar(4331, 5804);
juntar(5707, 8989);
juntar(1749, 7177);
juntar(1636, 351);
juntar(1563, 9977);
juntar(3130, 8126);
juntar(5300, 4375);
juntar(5208, 2331);
juntar(9664, 3315);
juntar(5570, 2331);
juntar(3858, 952);
juntar(6174, 2992);
juntar(5562, 3277);
juntar(4195, 3952);
juntar(962, 9575);
juntar(5864, 4726);
juntar(3982, 668);
juntar(9753, 235);
juntar(8680, 8770);
juntar(3122, 9726);
juntar(6606, 4227);
juntar(6082, 7028);
juntar(7861, 6418);
juntar(3560, 1654);
juntar(583, 9643);
juntar(4287, 8291);
juntar(8619, 9972);
juntar(9395, 6956);
juntar(1273, 5702);
juntar(561, 7239);
juntar(2181, 2329);
juntar(9136, 7907);
juntar(6601, 2755);
juntar(3171, 7432);
juntar(7721, 4820);
juntar(8871, 1953);
juntar(2912, 1205);
juntar(6617, 4636);
juntar(329, 1237);
juntar(9426, 4423);
juntar(4700, 200);
juntar(3473, 2776);
juntar(8726, 9376);
juntar(6134, 4168);
juntar(3107, 9247);
juntar(6904, 9789);
juntar(3889, 9012);
juntar(487, 4225);
juntar(567, 7918);
juntar(9390, 1724);
juntar(2179, 7764);
juntar(5422, 2044);
juntar(1469, 1363);
juntar(5642, 5880);
juntar(9148, 8799);
juntar(8506, 6371);
juntar(1245, 1809);
juntar(237, 6317);
juntar(2616, 6813);
juntar(9763, 348);
juntar(8742, 8758);
juntar(2963, 7565);
juntar(6190, 1231);
juntar(3421, 2903);
juntar(9275, 3063);
juntar(7396, 4841);
juntar(6821, 8088);
juntar(5315, 2999);
juntar(8237, 2587);
juntar(704, 1594);
juntar(2565, 4517);
juntar(225, 3813);
juntar(7656, 9637);
juntar(5200, 7709);
juntar(9152, 2300);
juntar(5891, 6415);
juntar(576, 2867);
juntar(4638, 4180);
juntar(6522, 9426);
juntar(2969, 5015);
juntar(640, 8854);
juntar(767, 2579);
juntar(8937, 1099);
juntar(2689, 8358);
juntar(6771, 1024);
juntar(8156, 135);
juntar(4819, 4142);
juntar(6462, 4319);
juntar(5326, 6146);
juntar(7779, 3748);
juntar(4941, 1248);
juntar(4210, 7291);
juntar(4606, 1069);
juntar(2395, 8758);
juntar(99, 4010);
juntar(662, 418);
juntar(9098, 4917);
juntar(9205, 789);
juntar(1905, 6188);
juntar(1378, 7248);
juntar(3353, 4413);
juntar(7809, 1485);
juntar(2834, 1157);
juntar(2767, 9885);
juntar(7860, 2552);
juntar(3969, 1462);
juntar(4149, 9973);
juntar(2845, 3199);
juntar(1804, 3305);
juntar(2181, 6295);
juntar(2848, 9008);
juntar(1999, 7169);
juntar(109, 7547);
juntar(2567, 3864);
juntar(1255, 8601);
juntar(5506, 1935);
juntar(4618, 7915);
juntar(93, 3870);
juntar(5401, 6668);
juntar(2082, 2611);
juntar(1821, 2780);
juntar(6624, 2854);
juntar(811, 3716);
juntar(5194, 3458);
juntar(1997, 2039);
juntar(8825, 522);
juntar(6850, 8204);
juntar(6419, 3455);
juntar(7157, 9911);
juntar(7402, 5723);
juntar(3234, 3704);
juntar(2583, 7871);
juntar(7676, 2444);
juntar(5714, 2867);
juntar(4875, 1797);
juntar(960, 2875);
juntar(9990, 9917);
juntar(8245, 2132);
juntar(3652, 7161);
juntar(9276, 2787);
juntar(239, 6842);
juntar(1949, 9265);
juntar(8279, 3783);
juntar(9772, 2011);
juntar(1254, 4756);
juntar(5981, 3300);
juntar(5870, 3754);
juntar(9099, 6240);
juntar(2747, 5498);
juntar(7815, 3016);
juntar(1360, 2577);
juntar(8292, 3);
juntar(7111, 5169);
juntar(6259, 5453);
juntar(3396, 7453);
juntar(9578, 103);
juntar(5693, 1470);
juntar(4379, 2308);
juntar(7844, 7473);
juntar(9290, 7047);
juntar(2940, 9610);
juntar(7834, 2530);
juntar(2538, 7162);
juntar(8624, 9014);
juntar(8279, 4485);
juntar(6630, 1932);
juntar(9401, 7339);
juntar(6518, 5445);
juntar(8145, 9314);
juntar(804, 3149);
juntar(2581, 9714);
juntar(1400, 9815);
juntar(3004, 3443);
juntar(3049, 1750);
juntar(3723, 4184);
juntar(1057, 3672);
juntar(6786, 4491);
juntar(3779, 6831);
juntar(8021, 266);
juntar(2398, 6493);
juntar(8583, 2557);
juntar(6644, 6917);
juntar(7172, 6612);
juntar(5357, 8449);
juntar(9024, 6660);
juntar(5012, 4475);
juntar(7877, 5062);
juntar(7698, 5630);
juntar(6179, 6127);
juntar(2411, 4871);
juntar(7006, 8158);
juntar(9979, 9818);
juntar(8397, 2110);
juntar(2458, 8098);
juntar(7077, 1593);
juntar(2431, 7361);
juntar(3956, 6940);
juntar(6254, 4070);
juntar(8166, 5510);
juntar(8022, 4234);
juntar(9902, 1497);
juntar(7792, 4834);
juntar(4899, 1127);
juntar(8434, 6845);
juntar(4960, 3312);
juntar(344, 9493);
juntar(9637, 1606);
juntar(2255, 660);
juntar(3912, 575);
juntar(9367, 183);
juntar(5504, 8630);
juntar(7099, 1231);
juntar(3308, 9759);
juntar(9923, 9899);
juntar(5383, 8625);
juntar(9941, 4667);
juntar(903, 7054);
juntar(9115, 5523);
juntar(5518, 5069);
juntar(2419, 7150);
juntar(3706, 6296);
juntar(6559, 1839);
juntar(4847, 5850);
juntar(351, 5547);
juntar(2007, 8599);
juntar(8396, 4882);
juntar(3703, 7092);
juntar(9234, 3695);
juntar(9288, 1377);
juntar(2839, 5431);
juntar(8022, 7422);
juntar(9982, 1431);
juntar(380, 6954);
juntar(7793, 5963);
juntar(7681, 9099);
juntar(1660, 5927);
juntar(2766, 3460);
juntar(3513, 6893);
juntar(98, 4971);
juntar(466, 7417);
juntar(8397, 3204);
juntar(5852, 427);
juntar(2743, 2688);
juntar(6727, 3874);
juntar(5914, 6215);
juntar(8077, 2827);
juntar(669, 131);
juntar(4170, 1704);
juntar(5661, 9167);
juntar(1766, 8438);
juntar(7719, 8491);
juntar(8204, 2047);
juntar(2358, 2352);
juntar(9810, 1268);
juntar(2522, 1945);
juntar(2503, 4730);
juntar(2837, 9924);
juntar(7003, 2463);
juntar(2925, 5387);
juntar(5620, 4462);
juntar(8699, 1092);
juntar(6250, 4488);
juntar(4986, 4139);
juntar(1906, 6329);
juntar(6303, 2469);
juntar(885, 5331);
juntar(5170, 2103);
juntar(3485, 168);
juntar(8946, 4265);
juntar(6116, 8559);
juntar(6860, 7292);
juntar(2545, 5884);
juntar(8625, 5512);
juntar(5104, 7544);
juntar(4847, 6190);
juntar(5701, 4283);
juntar(7276, 6045);
juntar(7676, 4671);
juntar(3902, 881);
juntar(4694, 492);
juntar(9847, 5394);
juntar(2192, 8859);
juntar(83, 5393);
juntar(171, 9538);
juntar(4113, 1317);
juntar(3562, 7210);
juntar(5899, 212);
juntar(7819, 6143);
juntar(4605, 3148);
juntar(2930, 9111);
juntar(2968, 6394);
juntar(8602, 3331);
juntar(526, 7669);
juntar(7028, 3597);
juntar(8300, 3235);
juntar(7354, 6893);
juntar(63, 7689);
juntar(7707, 3311);
juntar(2844, 5940);
juntar(6506, 5288);
juntar(5946, 6033);
juntar(4655, 875);
juntar(3418, 2235);
juntar(4172, 7060);
juntar(9665, 137);
juntar(6816, 5985);
juntar(1674, 9361);
juntar(8392, 327);
juntar(4207, 4940);
juntar(499, 4066);
juntar(6210, 5414);
juntar(1751, 1418);
juntar(7709, 4270);
juntar(4709, 9785);
juntar(6479, 1457);
juntar(3158, 2237);
juntar(2904, 3423);
juntar(6687, 1275);
juntar(9619, 3355);
juntar(6037, 8402);
juntar(9743, 8118);
juntar(3183, 3349);
juntar(3840, 4784);
juntar(4676, 2760);
juntar(1076, 7546);
juntar(5456, 563);
juntar(4494, 5359);
juntar(3006, 1319);
juntar(3779, 1679);
juntar(8520, 3422);
juntar(1477, 310);
juntar(2568, 1185);
juntar(202, 5564);
juntar(7639, 3565);
juntar(9073, 679);
juntar(8909, 2571);
juntar(7328, 5773);
juntar(7573, 6236);
juntar(1895, 5459);
juntar(8188, 9443);
juntar(3523, 6721);
juntar(2597, 876);
juntar(3040, 9629);
juntar(8227, 5881);
juntar(5256, 7034);
juntar(7789, 3143);
juntar(3100, 4538);
juntar(788, 7717);
juntar(8683, 8678);
juntar(4594, 4190);
juntar(1156, 9570);
juntar(4311, 1530);
juntar(3461, 4025);
juntar(6186, 5514);
juntar(1389, 6546);
juntar(8887, 5556);
juntar(8691, 8572);
juntar(616, 200);
juntar(1449, 796);
juntar(7722, 9600);
juntar(3365, 9490);
juntar(2271, 3886);
juntar(1201, 5366);
juntar(1833, 3498);
juntar(6199, 2713);
juntar(4642, 1252);
juntar(2989, 7284);
juntar(7266, 6226);
juntar(2236, 3745);
juntar(9907, 6375);
juntar(7053, 7342);
juntar(6556, 199);
juntar(6107, 9908);
juntar(3352, 7756);
juntar(8223, 7339);
juntar(8722, 7855);
juntar(4322, 4190);
juntar(3118, 1342);
juntar(2533, 1230);
juntar(4525, 73);
juntar(1484, 3424);
juntar(8289, 7365);
juntar(4882, 9117);
juntar(6269, 8514);
juntar(7806, 5963);
juntar(846, 9319);
juntar(1370, 5545);
juntar(3892, 6438);
juntar(7808, 6574);
juntar(9456, 5896);
juntar(2459, 6032);
juntar(1604, 5084);
juntar(2588, 8722);
juntar(5653, 9192);
juntar(5570, 8284);
juntar(1838, 5168);
juntar(534, 6951);
juntar(5368, 5022);
juntar(8263, 7046);
juntar(5759, 5582);
juntar(3880, 4563);
juntar(1364, 3642);
juntar(5631, 4026);
juntar(2107, 3856);
juntar(969, 4278);
juntar(4543, 1716);
juntar(8033, 6841);
juntar(8609, 5455);
juntar(6623, 2071);
juntar(4660, 8843);
juntar(7815, 3428);
juntar(2743, 1485);
juntar(5483, 6902);
juntar(3442, 4453);
juntar(6130, 873);
juntar(1084, 6873);
juntar(5727, 1498);
juntar(5613, 3419);
juntar(3506, 92);
juntar(9019, 3600);
juntar(3027, 1920);
juntar(5852, 1171);
juntar(294, 314);
juntar(5064, 6042);
juntar(7132, 6081);
juntar(2167, 1662);
juntar(5621, 9820);
juntar(6557, 8002);
juntar(5979, 3930);
juntar(8716, 3988);
juntar(5980, 1866);
juntar(5978, 3510);
juntar(4682, 4488);
juntar(3565, 5996);
juntar(7106, 7253);
juntar(9653, 5932);
juntar(9310, 7426);
juntar(9406, 5681);
juntar(5251, 7473);
juntar(3100, 2496);
juntar(7826, 9401);
juntar(7724, 3716);
juntar(6498, 4892);
juntar(9785, 3776);
juntar(3064, 7816);
juntar(9444, 2916);
juntar(5255, 8902);
juntar(2529, 217);
juntar(5139, 7227);
juntar(7546, 2970);
juntar(5550, 9497);
juntar(9331, 274);
juntar(3165, 6076);
juntar(9667, 1245);
juntar(1263, 2212);
juntar(7877, 7225);
juntar(8663, 3947);
juntar(1189, 3007);
juntar(3936, 874);
juntar(5468, 4235);
juntar(5545, 2044);
juntar(1837, 6850);
juntar(9279, 7109);
juntar(3647, 9750);
juntar(4062, 2091);
juntar(1270, 3680);
juntar(6023, 8048);
juntar(9274, 7762);
juntar(8584, 1334);
juntar(1697, 54);
juntar(3228, 6181);
juntar(6303, 58);
juntar(1608, 3855);
juntar(8016, 9207);
juntar(4711, 7806);
juntar(5027, 9983);
juntar(8878, 890);
juntar(8473, 5584);
juntar(1698, 9011);
juntar(8042, 9811);
juntar(2981, 5340);
juntar(1370, 1191);
juntar(7347, 640);
juntar(4692, 6291);
juntar(5328, 8176);
juntar(5817, 4597);
juntar(9273, 6185);
juntar(8253, 1430);
juntar(8885, 6934);
juntar(7030, 5896);
juntar(8706, 9057);
juntar(2610, 8093);
juntar(6540, 8992);
juntar(9202, 3458);
juntar(7418, 8168);
juntar(7685, 2480);
juntar(2496, 4822);
juntar(1437, 782);
juntar(6045, 3282);
juntar(5381, 8064);
juntar(6559, 8925);
juntar(4759, 4280);
juntar(9945, 4075);
juntar(292, 8046);
juntar(3722, 8626);
juntar(714, 5298);
juntar(1223, 9342);
juntar(1938, 5910);
juntar(3909, 3437);
juntar(4557, 2218);
juntar(8047, 5318);
juntar(7789, 6134);
juntar(9281, 183);
juntar(8544, 931);
juntar(4900, 4528);
juntar(8823, 9643);
juntar(8965, 1578);
juntar(3332, 4528);
juntar(9898, 9140);
juntar(1894, 1062);
juntar(3609, 8455);
juntar(7994, 5516);
juntar(7795, 5245);
juntar(5650, 7352);
juntar(4638, 8339);
juntar(1660, 6376);
juntar(9831, 7024);
juntar(9271, 9875);
juntar(5581, 5567);
juntar(2288, 6800);
juntar(4025, 2241);
juntar(5775, 4496);
juntar(5384, 635);
juntar(576, 8407);
juntar(2081, 2999);
juntar(4163, 6755);
juntar(6052, 8985);
juntar(9520, 270);
juntar(1506, 8226);
juntar(7147, 1700);
juntar(9533, 1918);
juntar(2634, 1074);
juntar(4098, 6812);
juntar(3727, 449);
juntar(1220, 4823);
juntar(6319, 6226);
juntar(4427, 2862);
juntar(8370, 8048);
juntar(9936, 430);
juntar(4420, 725);
juntar(4434, 6996);
juntar(1056, 9697);
juntar(6815, 7278);
juntar(5450, 1132);
juntar(2799, 149);
juntar(4942, 4906);
juntar(7934, 6082);
juntar(5505, 2443);
juntar(195, 8814);
juntar(903, 1672);
juntar(8097, 9210);
juntar(2372, 8202);
juntar(4066, 3180);
juntar(710, 5227);
juntar(5647, 965);
juntar(8842, 4651);
juntar(9069, 2090);
juntar(3100, 8430);
juntar(683, 8844);
juntar(5731, 2263);
juntar(1795, 1293);
juntar(9501, 3387);
juntar(1584, 8504);
juntar(7616, 466);
juntar(924, 3915);
juntar(8665, 6357);
juntar(7192, 7605);
juntar(6804, 3866);
juntar(6428, 4595);
juntar(1963, 513);
juntar(4574, 6233);
juntar(3527, 821);
juntar(3968, 1247);
juntar(3615, 3640);
juntar(4709, 4098);
juntar(2885, 7652);
juntar(3108, 874);
juntar(2592, 326);
juntar(1013, 7207);
juntar(1532, 4336);
juntar(489, 8388);
juntar(5467, 731);
juntar(8068, 9202);
juntar(9623, 9987);
juntar(1581, 9890);
juntar(1959, 490);
juntar(437, 5053);
juntar(6023, 8953);
juntar(7163, 4338);
juntar(7435, 8830);
juntar(3963, 7316);
juntar(7293, 846);
juntar(3155, 57);
juntar(9130, 4469);
juntar(4412, 7640);
juntar(3451, 324);
juntar(4929, 5044);
juntar(5327, 1366);
juntar(869, 8722);
juntar(6026, 4954);
juntar(9745, 2497);
juntar(9283, 8892);
juntar(3744, 4399);
juntar(6402, 1959);
juntar(3436, 5524);
juntar(2128, 3494);
juntar(9790, 8090);
juntar(4974, 7191);
juntar(9974, 7482);
juntar(1520, 1424);
juntar(9010, 2259);
juntar(4108, 2133);
juntar(5061, 6872);
juntar(5292, 4597);
juntar(827, 4115);
juntar(427, 7254);
juntar(7356, 8262);
juntar(1873, 4151);
juntar(9414, 5230);
juntar(4416, 2550);
juntar(3498, 3154);
juntar(1716, 8791);
juntar(559, 5282);
juntar(7871, 8569);
juntar(5538, 7271);
juntar(6507, 7463);
juntar(4951, 2608);
juntar(2187, 3764);
juntar(1917, 3179);
juntar(5415, 8449);
juntar(5260, 6769);
juntar(2995, 6470);
juntar(5627, 9716);
juntar(117, 9451);
juntar(6909, 820);
juntar(9157, 2355);
juntar(5688, 2156);
juntar(2895, 5719);
juntar(4914, 3480);
juntar(6636, 631);
juntar(569, 9554);
juntar(4521, 5815);
juntar(1672, 3898);
juntar(228, 4874);
juntar(4685, 8235);
juntar(1218, 7062);
juntar(3076, 4211);
juntar(8682, 6758);
juntar(1615, 2843);
juntar(2446, 5270);
juntar(2859, 7587);
juntar(1214, 3529);
juntar(154, 8928);
juntar(3760, 5788);
juntar(7528, 1952);
juntar(5909, 2535);
juntar(1850, 3485);
juntar(1517, 5470);
juntar(6777, 2088);
juntar(3033, 8642);
juntar(1150, 2416);
juntar(8671, 7610);
juntar(6775, 5314);
juntar(8763, 2836);
juntar(1788, 6345);
juntar(3430, 4433);
juntar(6191, 8426);
juntar(7333, 2861);
juntar(5550, 8734);
juntar(5021, 4195);
juntar(7352, 6101);
juntar(2102, 9184);
juntar(2046, 2756);
juntar(3329, 2477);
juntar(7419, 3463);
juntar(8578, 2126);
juntar(630, 5846);
juntar(1655, 9731);
juntar(6951, 8002);
juntar(4863, 8474);
juntar(8083, 3408);
juntar(4374, 9661);
juntar(5750, 8535);
juntar(7570, 8393);
juntar(8218, 5594);
juntar(3726, 5497);
juntar(8372, 1423);
juntar(3688, 5957);
juntar(2011, 3617);
juntar(2509, 3739);
juntar(4173, 6719);
juntar(1419, 9124);
juntar(9416, 4538);
juntar(1939, 7445);
juntar(9291, 9453);
juntar(5492, 7474);
juntar(6476, 5976);
juntar(6417, 3617);
juntar(434, 3748);
juntar(4957, 8524);
juntar(3885, 4675);
juntar(9481, 1784);
juntar(2855, 9958);
juntar(3975, 5953);
juntar(5608, 5394);
juntar(7679, 3318);
juntar(7412, 7537);
juntar(8601, 5542);
juntar(8714, 9040);
juntar(1647, 3581);
juntar(4083, 8810);
juntar(5080, 7162);
juntar(8044, 1513);
juntar(6123, 1459);
juntar(1814, 1365);
juntar(7655, 3626);
juntar(1846, 7190);
juntar(3170, 3357);
juntar(7105, 9249);
juntar(6397, 9721);
juntar(7019, 3507);
juntar(5370, 1228);
juntar(6189, 5668);
juntar(8065, 7245);
juntar(5084, 5574);
juntar(8230, 6702);
juntar(8210, 2379);
juntar(5509, 4371);
juntar(2529, 2272);
juntar(3576, 5882);
juntar(9266, 3481);
juntar(3613, 153);
juntar(1658, 7782);
juntar(8178, 1894);
juntar(9715, 3793);
juntar(2292, 7499);
juntar(564, 4985);
juntar(4371, 4737);
juntar(9609, 4508);
juntar(9558, 427);
juntar(3376, 9680);
juntar(1936, 525);
juntar(9659, 1336);
juntar(146, 3927);
juntar(4406, 7063);
juntar(2984, 4677);
juntar(7595, 2817);
juntar(7725, 7252);
juntar(2327, 4424);
juntar(4109, 6133);
juntar(2316, 8998);
juntar(1188, 3950);
juntar(3011, 6487);
juntar(2576, 2166);
juntar(709, 3183);
juntar(8038, 4469);
juntar(2173, 2360);
juntar(5781, 5848);
juntar(4521, 1937);
juntar(376, 9640);
juntar(1443, 5522);
juntar(5763, 769);
juntar(7163, 1049);
juntar(1493, 5877);
juntar(3997, 806);
juntar(3010, 40);
juntar(2831, 7641);
juntar(3586, 5399);
juntar(8394, 4815);
juntar(6329, 9184);
juntar(2832, 1128);
juntar(9587, 7299);
juntar(1730, 8718);
juntar(8021, 4974);
juntar(6490, 8217);
juntar(4635, 7783);
juntar(5766, 4875);
juntar(6143, 4774);
juntar(6515, 9638);
juntar(5181, 398);
juntar(2143, 1233);
juntar(8088, 3482);
juntar(1227, 8817);
juntar(6243, 9568);
juntar(5326, 9937);
juntar(2266, 7614);
juntar(8508, 5165);
juntar(9816, 3257);
juntar(4412, 9104);
juntar(7120, 8631);
juntar(8868, 7196);
juntar(9946, 3085);
juntar(7428, 9208);
juntar(9256, 44);
juntar(7508, 3163);
juntar(2472, 2713);
juntar(4255, 8012);
juntar(4933, 5406);
juntar(7767, 9400);
juntar(9953, 7812);
juntar(6813, 500);
juntar(1667, 6726);
juntar(827, 9084);
juntar(4772, 3452);
juntar(7634, 2758);
juntar(9223, 5399);
juntar(9065, 6589);
juntar(5947, 7214);
juntar(468, 1236);
juntar(1739, 215);
juntar(2936, 5145);
juntar(7631, 8858);
juntar(9033, 1348);
juntar(5236, 9508);
juntar(3761, 7993);
juntar(9833, 9857);
juntar(2568, 1851);
juntar(7295, 7035);
juntar(7319, 5723);
juntar(4351, 8626);
juntar(9302, 3949);
juntar(8127, 3636);
juntar(5606, 5003);
